probe ratio error                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
4.125 8.15895925618451E-010 1.71063489204141E-010                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
4.15 1.05534439965201E-009 1.95717744212105E-010                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
4.175 7.473618325686E-010 1.57588606207166E-010                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
4.2 9.43270211528772E-010 1.914355512796E-010                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
4.225 0.000000001 1.90259267821053E-010                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
4.25 0.000000001 1.89069691735214E-010                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
4.275 1.06320014161641E-009 2.014636323639E-010                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
4.3 7.11107198800528E-010 1.28682968500006E-010                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
4.325 0.000000001 1.64196396882002E-010                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
4.35 6.80118537244248E-010 1.26165060694597E-010                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
4.375 8.48429636729908E-010 1.86825964333974E-010                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
4.4 8.64626209704132E-010 1.86664745264773E-010                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
4.425 8.39068589600861E-010 1.83854691627446E-010                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
4.45 6.81807300237511E-010 1.2874804847285E-010                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
4.475 7.08766972957899E-010 1.32632829079094E-010                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
4.5 6.81425575185776E-010 1.29888419804172E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5 6.8718917963508E-010 1.50861736082773E-010 4.5
