probmu ratio error
0.38 8.169443303578044e-10 1.6559690095033963e-10
0.39 1.1212483002092797e-09 2.0906779996909695e-10
0.4 9.263149481392282e-10 1.9719336065553745e-10
0.41 7.678452927622436e-10 1.6681294936815788e-10
0.42 8.012847292502612e-10 1.7399779966747817e-10
0.43 8.644593065323388e-10 1.8215188479439618e-10
0.44 1.0566414884055697e-09 1.7087709919270888e-10
0.45 6.830325989122624e-10 1.2784447730491481e-10
0.46 6.670195541113561e-10 1.2598824541088213e-10
0.47 8.048505400445201e-10 1.4238246189821107e-10
0.48 9.3641850371615e-10 1.9519110611520972e-10
0.49 9.658170704718512e-10 2.0227116396976305e-10
0.5 7.992736568783146e-10 1.6952594740108843e-10
0.51 9.568448928447147e-10 1.983989555046034e-10
0.52 6.72871980024926e-10 1.270631150183705e-10
0.53 7.603399907315561e-10 1.3758839589765932e-10
0.54 6.74885421330209e-10 1.2748101279893219e-10
0.55 8.711017529113201e-10 1.8979003999643624e-10
0.56 7.117922634207949e-10 1.3203271542687538e-10
0.57 6.603025037032733e-10 1.258613588006981e-10
0.58 8.000155957469734e-10 1.425686689554795e-10
0.59 7.316764812535513e-10 1.3457126907207962e-10
0.6 9.591156944125374e-10 1.996823746071201e-10
0.61 7.337072987488802e-10 1.3494421618162723e-10
0.62 9.518166955139147e-10 1.9417824087813878e-10
0.63 8.753152337694837e-10 1.5165601041415897e-10
0.64 6.312350209132469e-10 1.2271209407724028e-10
0.65 7.111778032610451e-10 1.5333527442346453e-10
0.66 6.507815216846533e-10 1.2528332523082894e-10
0.67 6.333885732061498e-10 1.2314449956816851e-10
0.68 7.048529826852538e-10 1.3190969048313304e-10
0.69 9.34772519187738e-10 1.845384834019671e-10
0.7 6.550098477769872e-10 1.2603628040620152e-10
0.71 7.965002374864834e-10 1.430317739940662e-10
0.72 7.486846387976983e-10 1.6570586289299867e-10
0.73 7.275475159406184e-10 1.3495592847201159e-10
0.74 7.642119818789674e-10 1.3940960713053543e-10
0.75 6.405451551186587e-10 1.2453855284851588e-10
0.76 9.976628212927094e-10 1.6657888339620797e-10
0.77 8.037476590382477e-10 1.7096453011381366e-10
0.78 9.836640638268285e-10 1.9384136089684508e-10
0.79 6.796066252058193e-10 1.2954973415776466e-10
0.8 8.920965832088217e-10 1.8724826927158555e-10
0.81 6.998229730587115e-10 1.321516881742333e-10
0.82 1.0359985973316317e-09 2.0899991742159356e-10
0.83 7.927836808453173e-10 1.4344414405222357e-10
0.84 6.311305772361634e-10 1.2397958658370259e-10
0.85 6.501343308073345e-10 1.263820217856872e-10
0.86 7.484938540613249e-10 1.6621408953192893e-10
0.87 6.33671278252854e-10 1.2447718978221571e-10
0.88 6.342621292735512e-10 1.2460563486778595e-10
0.89 7.065685059802486e-10 1.5578035626347236e-10
0.9 9.150310182603523e-10 1.9592945838159253e-10
0.91 6.55956588472586e-10 1.3995288981667317e-10
0.92 6.38816358533297e-10 1.2548904310085079e-10
0.93 1.0978379055487017e-09 1.7931349754433842e-10
0.94 1.0437615838916376e-09 1.73280966913419e-10
0.95 6.601861388854091e-10 1.2834991323541937e-10
0.96 6.798303982146317e-10 1.308632668774755e-10
0.97 9.871969951853104e-10 1.977201966309627e-10
0.98 7.571262088405551e-10 1.4041948987590858e-10
0.99 6.656965388920343e-10 1.2940853421909144e-10
1.0 6.660889189943986e-10 1.295095766220802e-10
1.01 6.487522191492025e-10 1.2744223467934765e-10
1.02 6.4908959265889e-10 1.27510479297275e-10
1.03 7.057918634536819e-10 1.3452952761578982e-10
1.04 7.069322293533218e-10 1.347511743570139e-10
1.05 7.27185571244184e-10 1.3729768086514475e-10
1.06 6.529496854302108e-10 1.2827363577429645e-10
1.07 9.690798442353716e-10 2.0739517893693264e-10
1.08 6.740680073885649e-10 1.310467062803002e-10
1.09 6.562960512754676e-10 1.4099585914541975e-10
1.1 7.138470700022362e-10 1.360798163916664e-10
1.11 7.153597020258957e-10 1.3635997832656962e-10
1.12 8.483634715861478e-10 1.523303385043032e-10
