probk ratio error
-3.38 1.0062170641504637e-09 2.0079083371012814e-10
-3.37 6.742366746892618e-10 1.2976174655743661e-10
-3.36 6.560514849753736e-10 1.2753182823688777e-10
-3.35 6.558281659188192e-10 1.2749983939725749e-10
-3.34 8.369525903643527e-10 1.6759388763996724e-10
-3.33 7.156008133632025e-10 1.5864728987424685e-10
-3.32 7.296085346479091e-10 1.3657253243230091e-10
-3.31 6.920939495104057e-10 1.43786245677387e-10
-3.3 8.381859592323081e-10 1.4937790129738552e-10
-3.29 6.925280965818935e-10 1.3200961094530385e-10
-3.28 6.926215369777631e-10 1.3202387879849079e-10
-3.27 7.47547182182165e-10 1.386601939591406e-10
-3.26 1.0392871840514284e-09 1.725373473517638e-10
-3.25 7.836899979214928e-10 1.429905034609504e-10
-3.24 7.651779145079434e-10 1.442141770668629e-10
-3.23 1.0036890330446114e-09 1.685325474611512e-10
-3.22 6.929184639012952e-10 1.3208431236893833e-10
-3.21 6.927802967101135e-10 1.3208395567730473e-10
-3.2 6.564531996405298e-10 1.2764390427571599e-10
-3.19 6.93163600784844e-10 1.3212648949865924e-10
-3.18 7.829279728516074e-10 1.6801886649273904e-10
-3.17 8.661604468175551e-10 1.9033528393215038e-10
-3.16 6.934603693482699e-10 1.3219804066736192e-10
-3.15 6.576526311279969e-10 1.2783352463299937e-10
-3.14 7.488595613926311e-10 1.3889949188085965e-10
-3.13 6.754973079283506e-10 1.3061481445022283e-10
-3.12 6.944237390465265e-10 1.4284413139921216e-10
-3.11 7.243404292281776e-10 1.5641954518122765e-10
-3.1 6.39236426522911e-10 1.255701562672512e-10
-3.09 6.939774814472033e-10 1.3228186188210002e-10
-3.08 6.401592876680402e-10 1.257213364563947e-10
-3.07 6.764251896098849e-10 1.3017611822974161e-10
-3.06 6.578716709708394e-10 1.278912004749234e-10
-3.05 6.670339927631987e-10 1.4791766680341202e-10
-3.04 6.575752500217103e-10 1.2785434006219605e-10
-3.03 6.941384595641637e-10 1.3235703514181448e-10
-3.02 7.128179718510744e-10 1.347230729226952e-10
-3.01 7.864664263707028e-10 1.4345026581593302e-10
-3.0 7.129739378086654e-10 1.346374807736749e-10
-2.99 6.404333683420802e-10 1.2581137407618968e-10
-2.98 9.123588914178614e-10 1.9639324636843434e-10
-2.97 6.677880670619149e-10 1.4705695302224893e-10
-2.96 6.409388008409109e-10 1.2588538888858646e-10
-2.95 9.490473947823142e-10 1.9963249531480696e-10
-2.94 6.588488693284953e-10 1.280881942070662e-10
-2.93 6.956210532635501e-10 1.325934503303004e-10
-2.92 6.955907194695557e-10 1.326119685715928e-10
-2.91 6.41505252598068e-10 1.2599594312822964e-10
-2.9 6.592550575323058e-10 1.2816697638582805e-10
-2.89 8.80000959002705e-10 1.548214780814467e-10
-2.88 6.777774349578225e-10 1.3045133606793667e-10
-2.87 6.784162768700223e-10 1.3055339780801266e-10
-2.86 1.0442597212741053e-09 1.7337035134047635e-10
-2.85 9.590065432321823e-10 1.9063927450317948e-10
-2.84 6.606621481525993e-10 1.2841294960567009e-10
-2.83 7.155967279070338e-10 1.3511043829756633e-10
-2.82 7.159512576278737e-10 1.351906141734175e-10
-2.81 9.850170485048014e-10 1.9845680825834985e-10
-2.8 1.0194660942072122e-09 2.154815404142625e-10
-2.79 7.789667599365985e-10 1.6632768759146293e-10
-2.78 1.013721206511425e-09 2.081301143443897e-10
-2.77 9.088112180510135e-10 1.992295137203417e-10
-2.76 6.789958067093747e-10 1.4567312561869448e-10
-2.75 7.156488313111744e-10 1.3514658570617984e-10
-2.74 6.424810807788282e-10 1.2621360330080745e-10
-2.73 6.984469781239777e-10 1.331105093002713e-10
-2.72 6.786996158019304e-10 1.307182581871248e-10
-2.71 6.43507350496736e-10 1.2638855839412178e-10
-2.7 6.79773208276954e-10 1.3083740005935808e-10
-2.69 7.534184108565355e-10 1.397584161481319e-10
-2.68 1.1141705723133028e-09 2.217959775162987e-10
-2.67 1.0842713498778222e-09 2.0928419119637187e-10
