probk ratio error
-10.0 3.3020091937362505e-07 3.312169800828705e-08
-9.0 3.30549975426399e-07 3.315678140242968e-08
-8.0 3.307838691696991e-07 3.3180289991725404e-08
-7.0 3.310129343784285e-07 3.320331333109676e-08
-6.0 3.3152940180426064e-07 3.325522369597424e-08
-5.0 3.3231761084299087e-07 3.3334447554824076e-08
-4.0 3.3356220425410457e-07 3.3459544709342246e-08
-3.0 3.366101894773008e-07 3.3765913197013334e-08
-2.0 3.15912349767367e-07 3.169129556446447e-08
-1.0 2.9558828692942405e-07 2.9657144028266497e-08
0.0 2.876426939267995e-07 2.8869166642885902e-08
1.0 3.0616087365110584e-07 3.074972333705504e-08
2.0 3.245553198060509e-07 3.262447158870869e-08
3.0 3.442390319153427e-07 3.464133556801966e-08
4.0 3.6146069533624523e-07 3.6438689575927866e-08
5.0 3.2076553060946225e-07 3.24300496638206e-08
6.0 1.75554109657e-07 1.784770386241083e-08
7.0 7.563142721638941e-08 7.802101391596586e-09
