probe ratio error
-10.0 7.563142721638941e-08 7.802101391596586e-09
-9.0 7.567332417858769e-08 7.806549566768324e-09
-8.0 7.603282915757045e-08 7.84472364885661e-09
-7.0 7.621332637754351e-08 7.863893588755435e-09
-6.0 7.63362738412547e-08 7.876952844422001e-09
-5.0 7.682140498637187e-08 7.928494148086013e-09
-4.0 7.713192040336329e-08 7.961493604673959e-09
-3.0 7.843346419861922e-08 8.099894937055732e-09
-2.0 8.148965264212741e-08 8.425399660328063e-09
-1.0 8.496819272571897e-08 8.796775611461878e-09
0.0 9.21011299256998e-08 9.561251383613558e-09
1.0 1.0302935629753862e-07 1.0740148084295862e-08
2.0 1.230956605983359e-07 1.2928791227523888e-08
