probe ratio error
-10.0 3.3020091937362505e-07 3.312169800828705e-08
-9.0 3.310800544980647e-07 3.321005958504154e-08
-8.0 3.320783847919599e-07 3.331040257050098e-08
-7.0 3.3324381619465723e-07 3.3427542560236564e-08
-6.0 3.3420676240299846e-07 3.352433158119495e-08
-5.0 3.3562205530522554e-07 3.3666589568423e-08
-4.0 3.383886960370377e-07 3.394468516205047e-08
-3.0 3.430216828135582e-07 3.441040193766819e-08
-2.0 3.441036758365643e-07 3.4520975451831757e-08
-1.0 3.461133695300964e-07 3.4726345032712714e-08
0.0 3.4545853679517056e-07 3.4667214669680716e-08
1.0 3.422046444434153e-07 3.4353763565629403e-08
2.0 3.089644131870324e-07 3.103685364924506e-08
3.0 2.3992624149952807e-07 2.4129896419119603e-08
4.0 1.3843623391908129e-07 1.3950476906085805e-08
5.0 6.912118932575589e-08 6.985977582066405e-09
6.0 4.253447562526985e-08 4.314362102028987e-09
