bdt ratio error
0.0 3.766714773337969e-08 3.822303532211991e-09
0.01 3.7684329673363636e-08 3.8240704690095445e-09
0.02 3.784032153366224e-08 3.840113151583929e-09
0.03 3.816303975732551e-08 3.873308027754178e-09
0.04 3.8349793795601814e-08 3.892521006863337e-09
0.05 3.454729116908274e-08 3.506973014440619e-09
0.06 3.4749384078386076e-08 3.5277717641326896e-09
0.07 3.4832733702515365e-08 3.5363507932793796e-09
0.08 3.4930153676689726e-08 3.546378765437707e-09
0.09 3.5027386807645654e-08 3.5563882643910205e-09
0.1 3.50947534056473e-08 3.563323649006369e-09
0.11 3.530772344235739e-08 3.585251289053404e-09
0.12 3.536785238285944e-08 3.5914428928659414e-09
0.13 3.539462912550559e-08 3.5942002438956854e-09
0.14 3.55324616693264e-08 3.6083945425216714e-09
0.15 3.5621719436176916e-08 3.6175873169417323e-09
0.16 3.5694510172652544e-08 3.625084603521086e-09
0.17 3.573015885505558e-08 3.628756494878683e-09
0.18 3.5759320198946856e-08 3.6317602521583284e-09
0.19 3.5835455174563266e-08 3.6396028387588767e-09
0.2 3.597570851550175e-08 3.6540514104681587e-09
0.21 3.605345337071468e-08 3.662061183703241e-09
0.22 3.616972509350799e-08 3.674041146490587e-09
0.23 3.625073672454137e-08 3.682388755234923e-09
0.24 3.626539040461916e-08 3.68389875744903e-09
0.25 3.6311502443165376e-08 3.688650528096017e-09
0.26 3.633083082201377e-08 3.6906423368522255e-09
0.27 3.6458645845528086e-08 3.7038145569078036e-09
0.28 3.656068433797813e-08 3.7143312680226967e-09
0.29 3.661430536091031e-08 3.7198581132576545e-09
0.3 4.109760867837604e-08 4.175501190177664e-09
0.31 4.122028190443383e-08 4.1881471505809105e-09
0.32 4.127407874399193e-08 4.193693221453103e-09
0.33 4.14042891882471e-08 4.207117848465525e-09
0.34 4.163497009338929e-08 4.230903906872598e-09
0.35 4.165604161466783e-08 4.23307683161835e-09
0.36 4.1718130712617254e-08 4.2394797310869635e-09
0.37 4.1761817155463466e-08 4.243985033661178e-09
0.38 4.193441096637094e-08 4.261785652491556e-09
0.39 4.213024455601966e-08 4.281985709529156e-09
0.4 4.214913174393686e-08 4.283934050975562e-09
0.41 4.221037303861066e-08 4.290251681229809e-09
0.42 4.231573876206302e-08 4.301121800188616e-09
0.43 4.246990140602441e-08 4.317027514972109e-09
0.44 4.2622071158394866e-08 4.332729281459888e-09
0.45 4.274474208565218e-08 4.345388392751999e-09
0.46 4.2830581380736324e-08 4.354247278653829e-09
0.47 4.295710420884425e-08 4.367305794734665e-09
0.48 4.300707349568866e-08 4.372463477861175e-09
0.49 4.311996335471993e-08 4.384116295487839e-09
0.5 4.323536599271066e-08 4.396029431867318e-09
0.51 4.334392774632147e-08 4.407237246234271e-09
0.52 4.343531258162866e-08 4.416672385109501e-09
0.53 4.355188524799439e-08 4.428708939401898e-09
0.54 4.366728407536453e-08 4.440625247905845e-09
0.55 4.3969728948937584e-08 4.471860816065838e-09
0.56 4.405451708304944e-08 4.4806186455143895e-09
0.57 4.41228377632807e-08 4.487675913415032e-09
0.58 4.434790107053346e-08 4.5109264626734306e-09
0.59 4.447377825649529e-08 4.523931999573853e-09
0.6 4.4479788255520476e-08 4.524552976522421e-09
0.61 4.459446030019479e-08 4.536401841912618e-09
0.62 4.466494740115675e-08 4.5436856194892346e-09
0.63 4.472904858844871e-08 4.550309817678341e-09
0.64 4.4839030535730987e-08 4.561676004671719e-09
0.65 4.492806183662528e-08 4.570877660818234e-09
0.66 4.501248288680759e-08 4.579603356828184e-09
0.67 4.507143610873828e-08 4.585697019399647e-09
0.68 4.5183304138048006e-08 4.5972608705155286e-09
0.69 4.5330837356637434e-08 4.6125128166450675e-09
0.7 4.556097610868782e-08 4.63630760710535e-09
0.71 4.571150176102863e-08 4.651872988648105e-09
0.72 4.5948272084025096e-08 4.676359934571146e-09
0.73 4.6104568192594404e-08 4.6925263775835045e-09
0.74 4.643234831276909e-08 4.7264358869264026e-09
0.75 4.6541003761991565e-08 4.7376782040498754e-09
0.76 4.669597078888889e-08 4.753713727115489e-09
0.77 4.694658133544133e-08 4.779649783754539e-09
0.78 4.719125456601847e-08 4.804975705041341e-09
0.79 4.7616545791960314e-08 4.849007414314644e-09
0.8 4.795750407448275e-08 4.884317198358583e-09
0.81 4.823737249952829e-08 4.913306690610239e-09
0.82 4.860012127049896e-08 4.9508894588456555e-09
0.83 4.8726125240887686e-08 4.963946360135383e-09
0.84 4.926424819744092e-08 5.0197209863488845e-09
0.85 4.9863345854001966e-08 5.081839727222127e-09
0.86 5.068277748822111e-08 5.166845707362979e-09
0.87 4.5998257219714575e-08 4.690628369074292e-09
0.88 4.6482145286659086e-08 4.7408773315772905e-09
0.89 4.686508446674823e-08 4.7806565708545555e-09
0.9 4.777865352357928e-08 4.875604170544555e-09
0.91 4.918935332201127e-08 5.022349354112179e-09
0.92 5.013076806115558e-08 5.120366244688112e-09
0.93 5.189725279199894e-08 5.304476843685521e-09
0.94 5.459856122338887e-08 5.586498238923696e-09
0.95 5.752019564281337e-08 5.892173777375352e-09
0.96 6.289957898207896e-08 6.4567586151069e-09
0.97 7.344625616646606e-08 7.57029392234847e-09
0.98 1.0924085020072708e-07 1.141433374407938e-08
