probk ratio error
-10.0 3.766714773337969e-08 3.822303532211991e-09
-9.0 3.7691891039432453e-08 3.824848062883429e-09
-8.0 3.773501720050146e-08 3.829283138677813e-09
-7.0 3.774537388312261e-08 3.8303482353205745e-09
-6.0 3.7784921483158216e-08 3.834415440122586e-09
-5.0 3.7836885719721615e-08 3.839759783110219e-09
-4.0 3.794468762069619e-08 3.850847455645883e-09
-3.0 3.834903421787684e-08 3.892442857564212e-09
-2.0 4.279898490335753e-08 4.345574020179366e-09
-1.0 4.1730962801634416e-08 4.240803066673983e-09
0.0 4.702822798205763e-08 4.788100484635995e-09
1.0 5.196772750548303e-08 5.311827165694549e-09
2.0 6.29605567021111e-08 6.463171548440337e-09
3.0 8.03641719801298e-08 8.305443409799663e-09
