bdt ratio error
0.6 3.1973600723410414e-09 5.890387843569101e-10
0.61 2.645451013896983e-09 5.561276738246895e-10
0.62 2.606753856764591e-09 5.518620592093616e-10
0.63 2.5029527299260884e-09 5.475345492426471e-10
0.64 2.5080740837181297e-09 5.4170382175917e-10
0.65 2.413356487894035e-09 5.342284791405557e-10
0.66 3.0325030927189075e-09 5.639763997963819e-10
0.67 2.803282090562728e-09 5.463572592947729e-10
0.68 2.76723009829809e-09 5.448061643105941e-10
0.69 3.226070106551899e-09 5.666633878787307e-10
0.7 2.30041673680986e-09 5.119202589755415e-10
0.71 2.3762891432979048e-09 5.184301078231695e-10
0.72 2.9013953613416563e-09 5.400777597516572e-10
0.73 2.338000859775497e-09 5.08636192062008e-10
0.74 2.8087317008113325e-09 5.299608107871756e-10
0.75 2.229163651789292e-09 4.953420745537404e-10
0.76 2.3116977577897657e-09 4.963741253944135e-10
0.77 2.797249329786706e-09 5.168059020699005e-10
0.78 2.496001610853167e-09 4.98648817526538e-10
0.79 2.349590817600085e-09 4.88423006399385e-10
0.8 2.7719571917212012e-09 5.086567712883369e-10
0.81 2.3502438592439943e-09 4.823064847207783e-10
0.82 2.195784385762714e-09 4.697491791467656e-10
0.83 2.1466505045583045e-09 4.62886363141526e-10
0.84 2.5421407557423684e-09 4.815843302487111e-10
0.85 1.9978683401750677e-09 4.465832478963879e-10
0.86 2.4305011592495727e-09 4.657117781238143e-10
0.87 2.408431075602609e-09 4.6185386112323516e-10
0.88 2.358741439711077e-09 4.514365891282138e-10
0.89 2.0379754967247406e-09 4.307346554690618e-10
