probmu ratio error
-10.0 3.3020091937362505e-07 3.312169800828705e-08
-9.0 3.3020091937362505e-07 3.312169800828705e-08
-8.0 3.3023655739390937e-07 3.3125279955445144e-08
-7.0 3.3027254815868907e-07 3.312889735822391e-08
-6.0 3.3041321598205685e-07 3.314303578299096e-08
-5.0 3.306581926992011e-07 3.316765827945369e-08
-4.0 3.3083016888269195e-07 3.318494356976009e-08
-3.0 3.3120607844618903e-07 3.3222726287028176e-08
-2.0 3.0504169784498376e-07 3.0598438250697666e-08
-1.0 2.7813088397784225e-07 2.789942709272297e-08
0.0 2.557496940623863e-07 2.5655670601069947e-08
1.0 2.3581056863426228e-07 2.3658787594602132e-08
2.0 2.1295476626967686e-07 2.13724037341833e-08
3.0 1.884484628359955e-07 1.892622698349939e-08
4.0 1.7197928522894253e-07 1.7302913443679367e-08
5.0 1.7063553904511204e-07 1.7254275860752735e-08
6.0 2.4697796054803303e-07 2.544482528777084e-08
7.0 5.374576335545509e-07 5.975825933697869e-08
8.0 1.2310394370912767e-06 1.6988775675712655e-07
