probk ratio error
-10.0 3.232461372915097e-08 3.268516573369878e-09
-9.5 3.2347422794270835e-08 3.2708458442230625e-09
-9.0 3.2350667574488456e-08 3.2711772050901872e-09
-8.5 3.2352495189059024e-08 3.2713638435797477e-09
-8.0 3.237210877907787e-08 3.2733668231110533e-09
-7.5 3.240543895359707e-08 3.276770622579453e-09
-7.0 3.240863405333133e-08 3.277096921471604e-09
-6.5 3.2416589878849156e-08 3.2779094112312223e-09
-6.0 3.2452097945295624e-08 3.2815357250397027e-09
-5.5 3.247569797420239e-08 3.2839459560221176e-09
-5.0 3.251544582380091e-08 3.2880054144184573e-09
-4.5 3.255592823730261e-08 3.292139994419264e-09
-4.0 3.2639190337967515e-08 3.3006440997678335e-09
-3.5 3.2751047466454365e-08 3.312069477791031e-09
-3.0 3.289507686022442e-08 3.326782153793375e-09
-2.5 3.306187242686671e-08 3.3438220082718793e-09
-2.0 3.353576487774783e-08 3.392244298689958e-09
-1.5 3.2013763677857484e-08 3.2390390702122093e-09
-1.0 3.3045081816026736e-08 3.3445174115023384e-09
-0.5 3.460603855887817e-08 3.5042984717808194e-09
0.0 3.9676723127209194e-08 4.020980902079615e-09
0.5 4.374615245899116e-08 4.438906443657427e-09
1.0 4.593967097212549e-08 4.669241164173926e-09
1.5 5.0284355042312247e-08 5.118056168541681e-09
2.0 5.5342159980423915e-08 5.642097229581666e-09
2.5 6.20531941641822e-08 6.340012772463942e-09
3.0 6.290669919041641e-08 6.440597306654739e-09
3.5 7.156675005511115e-08 7.349395068782419e-09
4.0 8.23669295318687e-08 8.490186007045147e-09
4.5 8.530055555806348e-08 8.832308748978448e-09
5.0 1.0209535878021089e-07 1.0639030812514187e-08
