probe ratio error
-10.0 3.2516161940961556e-08 3.276540324862551e-09
-9.5 3.252185961803414e-08 3.2771182111509458e-09
-9.0 3.255715391841372e-08 3.2806979609895372e-09
-8.5 3.260488288845549e-08 3.2855389861121383e-09
-8.0 3.264423472268283e-08 3.2895304093112608e-09
-7.5 3.266272837123543e-08 3.2914062259976976e-09
-7.0 3.269328874792923e-08 3.2945060050258448e-09
-6.5 3.2741609846028585e-08 3.2994073541918166e-09
-6.0 3.280484926112314e-08 3.3058220538773586e-09
-5.5 3.2839328539254585e-08 3.309319532676752e-09
-5.0 3.294692708661222e-08 3.3202343282674676e-09
-4.5 3.3029166223391365e-08 3.3285769804789755e-09
-4.0 3.310568859855913e-08 3.336339947654706e-09
-3.5 3.3258935124637506e-08 3.3518870619187594e-09
-3.0 3.353902452101224e-08 3.3803050442613943e-09
-2.5 3.384360456432739e-08 3.4112114496207947e-09
-2.0 3.3533769215731526e-08 3.3802478294205007e-09
-1.5 3.266354237819325e-08 3.2929515877605546e-09
-1.0 3.18599808432591e-08 3.212523096079511e-09
-0.5 3.215503769916776e-08 3.243153385037169e-09
0.0 3.362451071152594e-08 3.3925180428836477e-09
0.5 3.216398538953049e-08 3.2465474767035476e-09
1.0 3.169575885585011e-08 3.201136733740368e-09
1.5 3.261309512160339e-08 3.296130914850426e-09
2.0 3.2013763677857484e-08 3.2390390702122093e-09
2.5 3.3644222387607986e-08 3.4091820159855518e-09
3.0 3.894646209572661e-08 3.9539221212619615e-09
3.5 4.525938720635381e-08 4.605126124271035e-09
4.0 4.8346423508773305e-08 4.9346462357855685e-09
