bdt ratio error
0.8 5.119264239782388e-08 5.154802320349257e-09
0.81 5.0723909449801295e-08 5.107825159660096e-09
0.82 5.0444424061340896e-08 5.0800328663663114e-09
0.83 4.980946533717264e-08 5.016246264035127e-09
0.84 4.959193979120252e-08 4.994768712287256e-09
0.85 4.8850895837180486e-08 4.920465575195597e-09
0.86 4.834039984530072e-08 4.8693510316537104e-09
0.87 4.8329414992890606e-08 4.868672037925375e-09
0.88 4.763136844881352e-08 4.798823755794455e-09
0.89 4.683885525590758e-08 4.719449381486494e-09
0.9 4.666918988613577e-08 4.70303825470659e-09
0.91 4.555663208986899e-08 4.591618756857676e-09
0.92 4.5202749629163865e-08 4.557005218438698e-09
0.93 4.4084373839211706e-08 4.4453022447948575e-09
0.94 4.290994214712049e-08 4.328643070523829e-09
0.95 4.0313119434056356e-08 4.0685707286149695e-09
0.96 3.823335022902593e-08 3.8616350289195134e-09
0.97 3.353576487774783e-08 3.392244298689958e-09
0.98 3.876606011704177e-08 3.941834729347334e-09
