probmu ratio error
-5.0 6.579867812903234e-08 6.644351852490981e-09
-4.5 6.582006540812295e-08 6.646530156546204e-09
-4.0 6.583421545479543e-08 6.6479713518253785e-09
-3.5 6.591662633776065e-08 6.656365080898457e-09
-3.0 6.600520690958483e-08 6.665387405742225e-09
-2.5 6.302124720994538e-08 6.3641358177808125e-09
-2.0 5.921644528366273e-08 5.97994859162285e-09
-1.5 5.3138751402396846e-08 5.366245697560524e-09
-1.0 5.062006771377179e-08 5.112088222576761e-09
-0.5 4.563672402563747e-08 4.609170346862182e-09
0.0 4.07866961629614e-08 4.119921062174762e-09
0.5 3.9652204313677386e-08 4.006253671082184e-09
1.0 3.577495666667356e-08 3.6156658918498834e-09
1.5 3.2093563851035415e-08 3.244923480717551e-09
2.0 3.2013763677857484e-08 3.2390390702122093e-09
2.5 3.49900332556724e-08 3.5436292260802245e-09
3.0 3.702046366879683e-08 3.755815975650546e-09
3.5 4.460660279315578e-08 4.5376565598937935e-09
4.0 4.915233177288593e-08 5.0184962380831365e-09
4.5 6.548455275677348e-08 6.728873813190046e-09
5.0 9.259353288473903e-08 9.614170878378448e-09
